sku,nombre,descripcion,categoria,marca,proveedor,precio_compra,precio_venta,stock,stock_minimo,codigo_barras,unidad_medida,activo
107082130503,Pantalla OLED iPhone 15 XO7 Soft,"Pantalla OLED para iPhone 15, calidad Aftermarket Pro XO7 Soft de alta fidelidad de color y respuesta táctil",Pantallas y Repuestos,XO7,MobileSentrix,455000,660000,2,1,107082130503,unidad,No
107182127813,Pantalla OLED iPhone 13 XO7 3.0 Soft,"Pantalla OLED para iPhone 13, calidad Aftermarket Pro XO7 3.0 Soft con excelente brillo y contraste",Pantallas y Repuestos,XO7,MobileSentrix,323000,470000,8,1,107182127813,unidad,No
107082025696,Auricular con Flex Sensor Proximidad iPhone 12 Pro Max,Auricular superior con cable flex de sensor de proximidad para iPhone 12 Pro Max Premium. Requiere microsoldadura para conservar Face ID,Pantallas y Repuestos,XO7,MobileSentrix,81000,120000,1,1,107082025696,unidad,No
107182127665,Pantalla OLED iPhone 17 Pro Aftermarket Plus Soft 120Hz,"Pantalla OLED compatible con iPhone 17 Pro, Aftermarket Plus Soft, tasa de refresco 120Hz fluida",Pantallas y Repuestos,XO7,MobileSentrix,359000,520000,1,1,107182127665,unidad,No
107182127797,Pantalla OLED iPhone 17 Aftermarket Plus Soft 120Hz,"Pantalla OLED para iPhone 17, Aftermarket Plus Soft, tasa de refresco 120Hz ProMotion compatible",Pantallas y Repuestos,XO7,MobileSentrix,359000,520000,1,1,107182127797,unidad,No
107182117328,Pantalla OLED iPhone 17 Pro Max Aftermarket Plus Soft 120Hz,"Pantalla OLED compatible con iPhone 17 Pro Max, Aftermarket Plus Soft, 120Hz de alta resolución",Pantallas y Repuestos,XO7,MobileSentrix,387000,560000,1,1,107182117328,unidad,No
107282227886,Pantalla OLED iPhone 16 Pro Max Aftermarket Plus Soft 120Hz,"Pantalla OLED para iPhone 16 Pro Max, Aftermarket Plus Soft, 120Hz ProMotion compatible",Pantallas y Repuestos,XO7,MobileSentrix,351000,510000,1,1,107282227886,unidad,No
107182127840,Pantalla OLED iPhone 16 Pro Aftermarket Plus Soft 3.0 120Hz,"Pantalla OLED compatible con iPhone 16 Pro, Aftermarket Plus Soft 3.0, 120Hz ProMotion",Pantallas y Repuestos,XO7,MobileSentrix,562000,810000,1,1,107182127840,unidad,No
107183138930,Pantalla OLED iPhone 16 XO7 Soft,"Pantalla OLED para iPhone 16, calidad Aftermarket Pro XO7 Soft",Pantallas y Repuestos,XO7,MobileSentrix,310000,450000,3,1,107183138930,unidad,No
107182136582,Pantalla OLED iPhone 15 Pro Max XO7 Soft 120Hz,"Pantalla OLED para iPhone 15 Pro Max, Aftermarket Pro XO7 Soft, tasa 120Hz de alta definición",Pantallas y Repuestos,XO7,MobileSentrix,310000,450000,2,1,107182136582,unidad,No
107183138478,Pantalla OLED iPhone 15 Pro XO7 Soft 120Hz,"Pantalla OLED para iPhone 15 Pro, Aftermarket Pro XO7 Soft, 120Hz de tasa de refresco",Pantallas y Repuestos,XO7,MobileSentrix,313000,450000,2,1,107183138478,unidad,No
107082004816,Pantalla LCD iPhone 11 con Chapa Preinstalada Incell XO7,"Pantalla LCD Incell para iPhone 11 con placa de acero disipadora preinstalada, Aftermarket Pro XO7",Pantallas y Repuestos,XO7,MobileSentrix,129000,190000,10,1,107082004816,unidad,No
107082145095,Pantalla OLED iPhone 14 Pro Max XO7 Soft,"Pantalla OLED para iPhone 14 Pro Max, calidad Aftermarket Pro XO7 Soft",Pantallas y Repuestos,XO7,MobileSentrix,310000,450000,2,1,107082145095,unidad,No
107183138476,Pantalla OLED iPhone 14 Pro XO7 Soft 120Hz,"Pantalla OLED para iPhone 14 Pro, Aftermarket Pro XO7 Soft, 120Hz ProMotion compatible",Pantallas y Repuestos,XO7,MobileSentrix,310000,450000,2,1,107183138476,unidad,No
107082129102,Pantalla OLED iPhone 14 XO7 Soft,"Pantalla OLED para iPhone 14, Aftermarket Pro XO7 Soft con excelente calibración de color",Pantallas y Repuestos,XO7,MobileSentrix,289000,420000,4,1,107082129102,unidad,No
107082145094,Pantalla OLED iPhone 13 Pro Max XO7 Soft,"Pantalla OLED para iPhone 13 Pro Max, Aftermarket Pro XO7 Soft",Pantallas y Repuestos,XO7,MobileSentrix,297000,430000,2,1,107082145094,unidad,No
107183138477,Pantalla OLED iPhone 13 Pro XO7 Soft 120Hz,"Pantalla OLED para iPhone 13 Pro, Aftermarket Pro XO7 Soft, 120Hz ProMotion",Pantallas y Repuestos,XO7,MobileSentrix,307000,450000,4,1,107183138477,unidad,No
107082082903,Pantalla OLED iPhone 12 Pro Max XO7 Soft,"Pantalla OLED para iPhone 12 Pro Max, Aftermarket Pro XO7 Soft",Pantallas y Repuestos,XO7,MobileSentrix,292000,420000,2,1,107082082903,unidad,No
107082069210,Pantalla OLED iPhone 11 Pro Max XO7 Soft,"Pantalla OLED para iPhone 11 Pro Max, calidad Aftermarket Pro XO7 Soft",Pantallas y Repuestos,XO7,MobileSentrix,261000,380000,2,1,107082069210,unidad,No
107082082704,Pantalla OLED iPhone 12 / 12 Pro XO7 Soft,"Pantalla OLED para iPhone 12 y iPhone 12 Pro, Aftermarket Pro XO7 Soft",Pantallas y Repuestos,XO7,MobileSentrix,271000,390000,5,1,107082082704,unidad,No
107182127808,Pantalla OLED iPhone 12 / 12 Pro XO7 3.0 Soft,"Pantalla OLED para iPhone 12 y iPhone 12 Pro, Aftermarket Pro XO7 versión 3.0 Soft mejorada",Pantallas y Repuestos,XO7,MobileSentrix,302000,440000,5,1,107182127808,unidad,No
