sku,nombre,descripcion,categoria,marca,proveedor,precio_compra,precio_venta,stock,stock_minimo,codigo_barras,unidad_medida,activo
107082130503,OLED Assembly For iPhone 15 (Aftermarket Pro: XO7 Soft),"Pantalla OLED para iPhone 15, calidad Aftermarket Pro XO7 Soft de alta fidelidad de color y respuesta táctil",Pantallas y Repuestos,XO7,MobileSentrix,58.29,84.52,2,1,107082130503,unidad,No
107182127813,OLED Assembly For iPhone 13 (Aftermarket Pro: XO7 3.0 Soft),"Pantalla OLED para iPhone 13, calidad Aftermarket Pro XO7 3.0 Soft con excelente brillo y contraste",Pantallas y Repuestos,XO7,MobileSentrix,41.47,60.13,8,1,107182127813,unidad,No
107082025696,Earpiece Speaker With Proximity Sensor Cable For iPhone 12 Pro Max (Warning: Soldering Required For Face ID Functionality) (Premium),Auricular superior con cable flex de sensor de proximidad para iPhone 12 Pro Max Premium. Requiere microsoldadura para conservar Face ID,Pantallas y Repuestos,XO7,MobileSentrix,10.43,15.12,1,1,107082025696,unidad,No
107182127665,OLED Assembly Compatible For iPhone 17 Pro (Aftermarket Plus: Soft) (120HZ),"Pantalla OLED compatible con iPhone 17 Pro, Aftermarket Plus Soft, tasa de refresco 120Hz fluida",Pantallas y Repuestos,XO7,MobileSentrix,45.98,66.67,1,1,107182127665,unidad,No
107182127797,OLED Assembly For iPhone 17 (Aftermarket Plus: Soft) (120HZ),"Pantalla OLED para iPhone 17, Aftermarket Plus Soft, tasa de refresco 120Hz ProMotion compatible",Pantallas y Repuestos,XO7,MobileSentrix,45.98,66.67,1,1,107182127797,unidad,No
107182117328,OLED Assembly Compatible For iPhone 17 Pro Max (Aftermarket Plus: Soft) (120HZ),"Pantalla OLED compatible con iPhone 17 Pro Max, Aftermarket Plus Soft, 120Hz de alta resolución",Pantallas y Repuestos,XO7,MobileSentrix,49.59,71.91,1,1,107182117328,unidad,No
107282227886,OLED Assembly For iPhone 16 Pro Max (Aftermarket Plus: Soft) (120HZ),"Pantalla OLED para iPhone 16 Pro Max, Aftermarket Plus Soft, 120Hz ProMotion compatible",Pantallas y Repuestos,XO7,MobileSentrix,45.01,65.26,1,1,107282227886,unidad,No
107182127840,OLED Assembly Compatible For iPhone 16 Pro (Aftermarket Plus: Soft 3.0) (120HZ),"Pantalla OLED compatible con iPhone 16 Pro, Aftermarket Plus Soft 3.0, 120Hz ProMotion",Pantallas y Repuestos,XO7,MobileSentrix,72.07,104.5,1,1,107182127840,unidad,No
107183138930,OLED Assembly For iPhone 16 (Aftermarket Pro: XO7 Soft),"Pantalla OLED para iPhone 16, calidad Aftermarket Pro XO7 Soft",Pantallas y Repuestos,XO7,MobileSentrix,39.79,57.7,3,1,107183138930,unidad,No
107182136582,OLED Assembly For iPhone 15 Pro Max (Aftermarket Pro: XO7 Soft) (120HZ),"Pantalla OLED para iPhone 15 Pro Max, Aftermarket Pro XO7 Soft, tasa 120Hz de alta definición",Pantallas y Repuestos,XO7,MobileSentrix,39.79,57.7,2,1,107182136582,unidad,No
107183138478,OLED Assembly For iPhone 15 Pro (Aftermarket Pro: XO7 Soft) (120HZ),"Pantalla OLED para iPhone 15 Pro, Aftermarket Pro XO7 Soft, 120Hz de tasa de refresco",Pantallas y Repuestos,XO7,MobileSentrix,40.11,58.16,2,1,107183138478,unidad,No
107082004816,LCD Assembly With Steel Plate Pre-Installed For iPhone 11 (Aftermarket Pro: XO7 / Incell),"Pantalla LCD Incell para iPhone 11 con placa de acero disipadora preinstalada, Aftermarket Pro XO7",Pantallas y Repuestos,XO7,MobileSentrix,16.56,24.01,10,1,107082004816,unidad,No
107082145095,OLED Assembly For iPhone 14 Pro Max (Aftermarket Pro: XO7 Soft),"Pantalla OLED para iPhone 14 Pro Max, calidad Aftermarket Pro XO7 Soft",Pantallas y Repuestos,XO7,MobileSentrix,39.79,57.7,2,1,107082145095,unidad,No
107183138476,OLED Assembly For iPhone 14 Pro (Aftermarket Pro: XO7 Soft) (120HZ),"Pantalla OLED para iPhone 14 Pro, Aftermarket Pro XO7 Soft, 120Hz ProMotion compatible",Pantallas y Repuestos,XO7,MobileSentrix,39.79,57.7,2,1,107183138476,unidad,No
107082129102,OLED Assembly For iPhone 14 (Aftermarket Pro: XO7 Soft),"Pantalla OLED para iPhone 14, Aftermarket Pro XO7 Soft con excelente calibración de color",Pantallas y Repuestos,XO7,MobileSentrix,37.03,53.69,4,1,107082129102,unidad,No
107082145094,OLED Assembly For iPhone 13 Pro Max (Aftermarket Pro: XO7 Soft),"Pantalla OLED para iPhone 13 Pro Max, Aftermarket Pro XO7 Soft",Pantallas y Repuestos,XO7,MobileSentrix,38.05,55.17,2,1,107082145094,unidad,No
107183138477,OLED Assembly For iPhone 13 Pro (Aftermarket Pro: XO7 Soft) (120HZ),"Pantalla OLED para iPhone 13 Pro, Aftermarket Pro XO7 Soft, 120Hz ProMotion",Pantallas y Repuestos,XO7,MobileSentrix,39.35,57.06,4,1,107183138477,unidad,No
107082082903,OLED Assembly For iPhone 12 Pro Max (Aftermarket Pro: XO7 Soft),"Pantalla OLED para iPhone 12 Pro Max, Aftermarket Pro XO7 Soft",Pantallas y Repuestos,XO7,MobileSentrix,37.42,54.26,2,1,107082082903,unidad,No
107082069210,OLED Assembly For iPhone 11 Pro Max (Aftermarket Pro: XO7 Soft),"Pantalla OLED para iPhone 11 Pro Max, calidad Aftermarket Pro XO7 Soft",Pantallas y Repuestos,XO7,MobileSentrix,33.45,48.5,2,1,107082069210,unidad,No
107082082704,OLED Assembly For iPhone 12 / 12 Pro (Aftermarket Pro: XO7 Soft),"Pantalla OLED para iPhone 12 y iPhone 12 Pro, Aftermarket Pro XO7 Soft",Pantallas y Repuestos,XO7,MobileSentrix,34.71,50.33,5,1,107082082704,unidad,No
107182127808,OLED Assembly For iPhone 12 / 12 Pro (Aftermarket Pro: XO7 3.0 Soft),"Pantalla OLED para iPhone 12 y iPhone 12 Pro, Aftermarket Pro XO7 versión 3.0 Soft mejorada",Pantallas y Repuestos,XO7,MobileSentrix,38.77,56.22,5,1,107182127808,unidad,No
