sku,nombre,descripcion,categoria,marca,precio_compra,precio_venta,stock,stock_minimo,codigo_barras,unidad_medida,activo
SRV-653705-585,pantalla oled a15,Repuesto y servicio de pantalla OLED para Samsung Galaxy A15,Servicios de Reparación,Samsung,250000,400000,9999,0,,unidad,No
SRV-757413-394,pantalla a12,Repuesto y cambio de pantalla para Samsung Galaxy A12,Servicios de Reparación,Samsung,130000,220000,9999,0,,unidad,No
107083546597,AmpSentrix Pro 30W 2-in-1 USB-C / USB-A GaN Wall Adapter (Teal),Cargador de pared GaN 30W dual USB-C y USB-A color Teal,Cargadores y Cables,AmpSentrix,80000,140000,0,5,107083546597,unidad,No
QK-01019238,cargador ecopower,Cargador de pared rápido marca Ecopower,Cargadores y Cables,Ecopower,20000,40000,10,5,QK01019238,unidad,No
QK-01465499,portector 17 pro max,Vidrio templado protector de pantalla para 17 Pro Max,Protectores de Pantalla,Generic,10000,30000,10,0,QK01465499,unidad,No
SRV-126373-956,cambio de pantalla Sansung A05,Servicio técnico cambio de módulo de pantalla para Samsung Galaxy A05,Servicios de Reparación,Samsung,150000,250000,9999,0,,unidad,No
SRV-344814-631,Bateria 13 pro max,Batería de repuesto y servicio de reemplazo para iPhone 13 Pro Max,Servicios de Reparación,Apple,140000,250000,9999,0,,unidad,No
SRV-543857-296,cambio de pantalla de iphone 13,Mano de obra y módulo de reemplazo para pantalla iPhone 13,Servicios de Reparación,Apple,380000,600000,9999,0,,unidad,No
QK-77167949,cargador ecopower,Cargador Ecopower para celulares,Cargadores,Ecopower,20000,40000,0,0,QK77167949,unidad,No
SRV-027821-70,bateria iphone 13,Reemplazo e instalación de batería original para iPhone 13,Servicios de Reparación,Apple,130000,230000,9999,0,,unidad,No
SRV-878102-877,pantalla iphone 13 incel,Módulo de pantalla calidad Incell para iPhone 13 con instalación,Servicios de Reparación,Apple,180000,300000,9999,0,,unidad,No
SRV-125333-88,bateria iphne 11 pro max,Cambio de batería de alta capacidad para iPhone 11 Pro Max,Servicios de Reparación,Apple,120000,220000,9999,0,,unidad,No
SRV-823639-470,pantalla huawei/honor x7b,Servicio de cambio de pantalla para Huawei / Honor X7b,Servicios de Reparación,Huawei/Honor,140000,250000,9999,0,,unidad,No
171839,PEN DRIVE 256GB KINGSTON DTXM/256GB EXODIA 3.2 USB,Memoria USB 3.2 Gen 1 Kingston DataTraveler Exodia M de 256GB,Pendrive,KINGSTON,120000,200000,0,1,740617326284,unidad,No
SRV-373180-596,pantalla oled a15,Instalación de módulo pantalla OLED premium para Samsung A15,Servicios de Reparación,Samsung,400000,619780,9999,0,,unidad,No
